Unnamed: 0,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge,ch
2641,more than 10 years,2018,50-60,female,high school diploma,average,51-70%,15,below normal,0.6007314,0
2642,more than 10 years,2018,50-60,female,high school diploma,average,51-70%,15,normal,0.40999207,0
2643,more than 10 years,2018,50-60,female,high school diploma,average,51-70%,15,above normal,0.014725348,0
2644,more than 10 years,2018,50-60,female,high school diploma,average,51-70%,30,below normal,0.29294008,0
2645,more than 10 years,2018,50-60,female,high school diploma,average,51-70%,30,normal,0.17861119,0
2646,more than 10 years,2018,50-60,female,high school diploma,average,51-70%,30,above normal,0.009500576,0
2647,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,0,below normal,0.99832124,1
2648,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,0,normal,0.9850246,1
2649,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,0,above normal,0.5388951,0
2650,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,15,below normal,0.9958216,1
2651,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,15,normal,0.97602594,1
2652,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,15,above normal,0.41973916,0
2653,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,30,below normal,0.9866807,1
2654,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,30,normal,0.96182966,1
2655,more than 10 years,2022,31-40,female,below high school diploma,average,10-30%,30,above normal,0.30925944,0
2656,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,0,below normal,0.9941484,1
2657,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,0,normal,0.931038,1
2658,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,0,above normal,0.1767672,0
2659,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,15,below normal,0.9814152,1
2660,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,15,normal,0.8931192,1
2661,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,15,above normal,0.12927833,1
2662,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,30,below normal,0.9421472,1
2663,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,30,normal,0.8379789,1
2664,more than 10 years,2022,31-40,female,below high school diploma,average,31-50%,30,above normal,0.08416218,0
2665,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,0,below normal,0.96723413,1
2666,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,0,normal,0.6949692,0
2667,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,0,above normal,0.03119765,0
2668,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,15,below normal,0.8995502,1
2669,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,15,normal,0.6316951,0
2670,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,15,above normal,0.029527467,0
2671,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,30,below normal,0.73094463,1
2672,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,30,normal,0.5149347,0
2673,more than 10 years,2022,31-40,female,below high school diploma,average,51-70%,30,above normal,0.018512843,0
2674,1-3 years,2019,41-50,male,master's degree,above average,10-30%,0,below normal,0.9936952,1
2675,1-3 years,2019,41-50,male,master's degree,above average,10-30%,0,normal,0.9906192,1
2676,1-3 years,2019,41-50,male,master's degree,above average,10-30%,0,above normal,0.9789918,1
2677,1-3 years,2019,41-50,male,master's degree,above average,10-30%,15,below normal,0.9667387,1
2678,1-3 years,2019,41-50,male,master's degree,above average,10-30%,15,normal,0.93738484,1
2679,1-3 years,2019,41-50,male,master's degree,above average,10-30%,15,above normal,0.88340575,1
2680,1-3 years,2019,41-50,male,master's degree,above average,10-30%,30,below normal,0.83949983,1
2681,1-3 years,2019,41-50,male,master's degree,above average,10-30%,30,normal,0.72305965,1
2682,1-3 years,2019,41-50,male,master's degree,above average,10-30%,30,above normal,0.55081815,0
2683,1-3 years,2019,41-50,male,master's degree,above average,31-50%,0,below normal,0.9398941,1
2684,1-3 years,2019,41-50,male,master's degree,above average,31-50%,0,normal,0.88781935,1
2685,1-3 years,2019,41-50,male,master's degree,above average,31-50%,0,above normal,0.76279545,1
2686,1-3 years,2019,41-50,male,master's degree,above average,31-50%,15,below normal,0.6891362,0
2687,1-3 years,2019,41-50,male,master's degree,above average,31-50%,15,normal,0.5287385,0
2688,1-3 years,2019,41-50,male,master's degree,above average,31-50%,15,above normal,0.36217895,0
2689,1-3 years,2019,41-50,male,master's degree,above average,31-50%,30,below normal,0.32922795,0
2690,1-3 years,2019,41-50,male,master's degree,above average,31-50%,30,normal,0.15732554,0
2691,1-3 years,2019,41-50,male,master's degree,above average,31-50%,30,above normal,0.08061828,0
2692,1-3 years,2019,41-50,male,master's degree,above average,51-70%,0,below normal,0.5395806,0
2693,1-3 years,2019,41-50,male,master's degree,above average,51-70%,0,normal,0.38678986,0
2694,1-3 years,2019,41-50,male,master's degree,above average,51-70%,0,above normal,0.24098684,0
2695,1-3 years,2019,41-50,male,master's degree,above average,51-70%,15,below normal,0.17055002,0
2696,1-3 years,2019,41-50,male,master's degree,above average,51-70%,15,normal,0.09693771,0
2697,1-3 years,2019,41-50,male,master's degree,above average,51-70%,15,above normal,0.06811304,0
2698,1-3 years,2019,41-50,male,master's degree,above average,51-70%,30,below normal,0.06657081,0
2699,1-3 years,2019,41-50,male,master's degree,above average,51-70%,30,normal,0.028556265,0
2700,1-3 years,2019,41-50,male,master's degree,above average,51-70%,30,above normal,0.012762918,0
2701,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,0,below normal,0.9686257,1
2702,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,0,normal,0.95488584,1
2703,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,0,above normal,0.80234855,1
2704,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,15,below normal,0.85537267,1
2705,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,15,normal,0.8019881,1
2706,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,15,above normal,0.6310226,0
2707,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,30,below normal,0.58264744,0
2708,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,30,normal,0.43662727,0
2709,1-3 years,2016,18-30,female,bachelor's degree,above average,10-30%,30,above normal,0.2706099,0
2710,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,0,below normal,0.825906,1
2711,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,0,normal,0.7662272,1
2712,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,0,above normal,0.47997925,0
2713,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,15,below normal,0.4761106,0
2714,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,15,normal,0.38544527,0
2715,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,15,above normal,0.2707543,0
2716,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,30,below normal,0.25744823,0
2717,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,30,normal,0.13990894,0
2718,1-3 years,2016,18-30,female,bachelor's degree,above average,31-50%,30,above normal,0.077084616,0
2719,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,0,below normal,0.42174104,0
2720,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,0,normal,0.33667722,0
2721,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,0,above normal,0.13874893,0
2722,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,15,below normal,0.17897484,0
2723,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,15,normal,0.088526145,0
2724,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,15,above normal,0.07418951,0
2725,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,30,below normal,0.07927795,0
2726,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,30,normal,0.03703425,0
2727,1-3 years,2016,18-30,female,bachelor's degree,above average,51-70%,30,above normal,0.02853058,0
2728,3-5 years,2018,above 60,male,master's degree,above average,10-30%,0,below normal,0.996243,1
2729,3-5 years,2018,above 60,male,master's degree,above average,10-30%,0,normal,0.99418455,1
2730,3-5 years,2018,above 60,male,master's degree,above average,10-30%,0,above normal,0.9852271,1
2731,3-5 years,2018,above 60,male,master's degree,above average,10-30%,15,below normal,0.9873388,1
2732,3-5 years,2018,above 60,male,master's degree,above average,10-30%,15,normal,0.9751336,1
2733,3-5 years,2018,above 60,male,master's degree,above average,10-30%,15,above normal,0.9386436,1
2734,3-5 years,2018,above 60,male,master's degree,above average,10-30%,30,below normal,0.93488824,1
2735,3-5 years,2018,above 60,male,master's degree,above average,10-30%,30,normal,0.87903464,1
2736,3-5 years,2018,above 60,male,master's degree,above average,10-30%,30,above normal,0.7782326,1
2737,3-5 years,2018,above 60,male,master's degree,above average,31-50%,0,below normal,0.9583015,1
2738,3-5 years,2018,above 60,male,master's degree,above average,31-50%,0,normal,0.8996534,1
2739,3-5 years,2018,above 60,male,master's degree,above average,31-50%,0,above normal,0.7776562,1
2740,3-5 years,2018,above 60,male,master's degree,above average,31-50%,15,below normal,0.84055424,1
2741,3-5 years,2018,above 60,male,master's degree,above average,31-50%,15,normal,0.6728359,0
2742,3-5 years,2018,above 60,male,master's degree,above average,31-50%,15,above normal,0.44515163,0
2743,3-5 years,2018,above 60,male,master's degree,above average,31-50%,30,below normal,0.51832104,0
2744,3-5 years,2018,above 60,male,master's degree,above average,31-50%,30,normal,0.32053816,0
2745,3-5 years,2018,above 60,male,master's degree,above average,31-50%,30,above normal,0.15543166,0
2746,3-5 years,2018,above 60,male,master's degree,above average,51-70%,0,below normal,0.54653555,0
2747,3-5 years,2018,above 60,male,master's degree,above average,51-70%,0,normal,0.3446245,0
2748,3-5 years,2018,above 60,male,master's degree,above average,51-70%,0,above normal,0.20866106,0
2749,3-5 years,2018,above 60,male,master's degree,above average,51-70%,15,below normal,0.2680924,0
2750,3-5 years,2018,above 60,male,master's degree,above average,51-70%,15,normal,0.12648375,0
2751,3-5 years,2018,above 60,male,master's degree,above average,51-70%,15,above normal,0.070630096,0
2752,3-5 years,2018,above 60,male,master's degree,above average,51-70%,30,below normal,0.12238192,0
2753,3-5 years,2018,above 60,male,master's degree,above average,51-70%,30,normal,0.051399127,0
2754,3-5 years,2018,above 60,male,master's degree,above average,51-70%,30,above normal,0.020619806,0
2755,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,0,below normal,0.9994543,1
2756,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,0,normal,0.99954104,1
2757,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,0,above normal,0.98842174,1
2758,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,15,below normal,0.9971277,1
2759,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,15,normal,0.9975834,1
2760,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,15,above normal,0.9638271,1
2761,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,30,below normal,0.98130494,1
2762,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,30,normal,0.98738146,1
2763,1-3 years,2022,41-50,male,doctoral degree,average,10-30%,30,above normal,0.89266163,1
2764,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,0,below normal,0.9977278,1
2765,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,0,normal,0.997463,1
2766,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,0,above normal,0.9001739,1
2767,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,15,below normal,0.98812765,1
2768,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,15,normal,0.98237485,1
2769,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,15,above normal,0.7287992,1
2770,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,30,below normal,0.923555,1
2771,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,30,normal,0.88766086,1
2772,1-3 years,2022,41-50,male,doctoral degree,average,31-50%,30,above normal,0.44470668,0
2773,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,0,below normal,0.9826613,1
2774,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,0,normal,0.96717584,1
2775,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,0,above normal,0.3835779,0
2776,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,15,below normal,0.88409406,1
2777,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,15,normal,0.8068451,1
2778,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,15,above normal,0.15643343,0
2779,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,30,below normal,0.5065607,0
2780,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,30,normal,0.37193173,0
2781,1-3 years,2022,41-50,male,doctoral degree,average,51-70%,30,above normal,0.052370097,0
2782,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,0,below normal,0.99991906,1
2783,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,0,normal,0.99988925,1
2784,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,0,above normal,0.99828136,1
2785,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,15,below normal,0.99975854,1
2786,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,15,normal,0.99968636,1
2787,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,15,above normal,0.99732566,1
2788,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,30,below normal,0.99925417,1
2789,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,30,normal,0.9991115,1
2790,1-3 years,2021,above 60,female,doctoral degree,average,10-30%,30,above normal,0.9958411,1
2791,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,0,below normal,0.99960274,1
2792,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,0,normal,0.99939454,1
2793,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,0,above normal,0.99003285,1
2794,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,15,below normal,0.99883574,1
2795,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,15,normal,0.99828607,0
2796,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,15,above normal,0.98419213,1
2797,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,30,below normal,0.99653244,1
2798,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,30,normal,0.99515814,1
2799,1-3 years,2021,above 60,female,doctoral degree,average,31-50%,30,above normal,0.9688098,1
2800,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,0,below normal,0.9978301,1
2801,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,0,normal,0.9966965,1
2802,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,0,above normal,0.8821946,1
2803,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,15,below normal,0.99387497,1
2804,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,15,normal,0.9886875,1
2805,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,15,above normal,0.78885376,1
2806,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,30,below normal,0.9828346,1
2807,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,30,normal,0.9563261,1
2808,1-3 years,2021,above 60,female,doctoral degree,average,51-70%,30,above normal,0.6508281,0
2809,3-5 years,2021,31-40,female,high school diploma,average,10-30%,0,below normal,0.995776,1
2810,3-5 years,2021,31-40,female,high school diploma,average,10-30%,0,normal,0.97436506,0
2811,3-5 years,2021,31-40,female,high school diploma,average,10-30%,0,above normal,0.33109897,0
2812,3-5 years,2021,31-40,female,high school diploma,average,10-30%,15,below normal,0.98735493,1
2813,3-5 years,2021,31-40,female,high school diploma,average,10-30%,15,normal,0.9510508,1
2814,3-5 years,2021,31-40,female,high school diploma,average,10-30%,15,above normal,0.21735391,0
2815,3-5 years,2021,31-40,female,high school diploma,average,10-30%,30,below normal,0.94996846,1
2816,3-5 years,2021,31-40,female,high school diploma,average,10-30%,30,normal,0.84171,1
2817,3-5 years,2021,31-40,female,high school diploma,average,10-30%,30,above normal,0.14667839,0
2818,3-5 years,2021,31-40,female,high school diploma,average,31-50%,0,below normal,0.9673775,1
2819,3-5 years,2021,31-40,female,high school diploma,average,31-50%,0,normal,0.8382731,1
2820,3-5 years,2021,31-40,female,high school diploma,average,31-50%,0,above normal,0.08432943,0
2821,3-5 years,2021,31-40,female,high school diploma,average,31-50%,15,below normal,0.8999592,1
2822,3-5 years,2021,31-40,female,high school diploma,average,31-50%,15,normal,0.7623661,1
2823,3-5 years,2021,31-40,female,high school diploma,average,31-50%,15,above normal,0.053928193,0
2824,3-5 years,2021,31-40,female,high school diploma,average,31-50%,30,below normal,0.7256675,1
2825,3-5 years,2021,31-40,female,high school diploma,average,31-50%,30,normal,0.5343812,0
2826,3-5 years,2021,31-40,female,high school diploma,average,31-50%,30,above normal,0.034078885,0
2827,3-5 years,2021,31-40,female,high school diploma,average,51-70%,0,below normal,0.8318434,1
2828,3-5 years,2021,31-40,female,high school diploma,average,51-70%,0,normal,0.4969425,0
2829,3-5 years,2021,31-40,female,high school diploma,average,51-70%,0,above normal,0.01855229,0
2830,3-5 years,2021,31-40,female,high school diploma,average,51-70%,15,below normal,0.600112,1
2831,3-5 years,2021,31-40,female,high school diploma,average,51-70%,15,normal,0.37372363,0
2832,3-5 years,2021,31-40,female,high school diploma,average,51-70%,15,above normal,0.011564596,0
2833,3-5 years,2021,31-40,female,high school diploma,average,51-70%,30,below normal,0.31630364,0
2834,3-5 years,2021,31-40,female,high school diploma,average,51-70%,30,normal,0.18361996,0
2835,3-5 years,2021,31-40,female,high school diploma,average,51-70%,30,above normal,0.008373498,0
2836,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,0,below normal,0.99735993,1
2837,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,0,normal,0.99708337,1
2838,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,0,above normal,0.99582785,1
2839,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,15,below normal,0.99258184,1
2840,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,15,normal,0.9913436,1
2841,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,15,above normal,0.98911345,1
2842,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,30,below normal,0.97830427,1
2843,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,30,normal,0.9745959,1
2844,less than a year,2020,50-60,female,bachelor's degree,above average,10-30%,30,above normal,0.96867394,1
2845,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,0,below normal,0.987981,1
2846,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,0,normal,0.986081,1
2847,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,0,above normal,0.9756427,1
2848,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,15,below normal,0.96539116,1
2849,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,15,normal,0.9595667,1
2850,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,15,above normal,0.92060965,1
2851,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,30,below normal,0.9033288,1
2852,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,30,normal,0.8545222,1
2853,less than a year,2020,50-60,female,bachelor's degree,above average,31-50%,30,above normal,0.73391455,1
2854,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,0,below normal,0.94199437,1
2855,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,0,normal,0.88406646,1
2856,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,0,above normal,0.7098446,1
2857,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,15,below normal,0.7943544,1
2858,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,15,normal,0.6446104,0
2859,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,15,above normal,0.45593423,0
2860,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,30,below normal,0.6138352,0
2861,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,30,normal,0.34523097,0
2862,less than a year,2020,50-60,female,bachelor's degree,above average,51-70%,30,above normal,0.16845784,0
2863,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,0,below normal,0.9985171,1
2864,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,0,normal,0.997259,1
2865,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,0,above normal,0.98159146,1
2866,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,15,below normal,0.9968406,1
2867,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,15,normal,0.99286497,1
2868,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,15,above normal,0.9732035,1
2869,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,30,below normal,0.991098,1
2870,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,30,normal,0.9763842,1
2871,5-10 years,2022,above 60,male,high school diploma,above average,10-30%,30,above normal,0.937841,1
2872,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,0,below normal,0.9839331,1
2873,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,0,normal,0.9601075,1
2874,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,0,above normal,0.8344665,1
2875,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,15,below normal,0.96593994,1
2876,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,15,normal,0.917665,1
2877,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,15,above normal,0.8141337,1
2878,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,30,below normal,0.9174071,1
2879,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,30,normal,0.83770007,1
2880,5-10 years,2022,above 60,male,high school diploma,above average,31-50%,30,above normal,0.6697987,0
2881,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,0,below normal,0.8818592,1
2882,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,0,normal,0.7457772,1
2883,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,0,above normal,0.36272752,0
2884,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,15,below normal,0.77562207,1
2885,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,15,normal,0.5760048,0
2886,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,15,above normal,0.34420857,0
2887,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,30,below normal,0.6155049,0
2888,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,30,normal,0.386173,0
2889,5-10 years,2022,above 60,male,high school diploma,above average,51-70%,30,above normal,0.19823423,0
2890,more than 10 years,2019,41-50,female,master's degree,average,10-30%,0,below normal,0.99683595,1
2891,more than 10 years,2019,41-50,female,master's degree,average,10-30%,0,normal,0.9931577,1
2892,more than 10 years,2019,41-50,female,master's degree,average,10-30%,0,above normal,0.81438446,1
2893,more than 10 years,2019,41-50,female,master's degree,average,10-30%,15,below normal,0.9818408,1
2894,more than 10 years,2019,41-50,female,master's degree,average,10-30%,15,normal,0.9722474,1
2895,more than 10 years,2019,41-50,female,master's degree,average,10-30%,15,above normal,0.4956419,0
2896,more than 10 years,2019,41-50,female,master's degree,average,10-30%,30,below normal,0.9164487,1
2897,more than 10 years,2019,41-50,female,master's degree,average,10-30%,30,normal,0.8841714,1
2898,more than 10 years,2019,41-50,female,master's degree,average,10-30%,30,above normal,0.2833098,0
2899,more than 10 years,2019,41-50,female,master's degree,average,31-50%,0,below normal,0.98687565,1
2900,more than 10 years,2019,41-50,female,master's degree,average,31-50%,0,normal,0.9533688,1
2901,more than 10 years,2019,41-50,female,master's degree,average,31-50%,0,above normal,0.3226569,0
2902,more than 10 years,2019,41-50,female,master's degree,average,31-50%,15,below normal,0.8987496,1
2903,more than 10 years,2019,41-50,female,master's degree,average,31-50%,15,normal,0.8331993,1
2904,more than 10 years,2019,41-50,female,master's degree,average,31-50%,15,above normal,0.12637568,0
2905,more than 10 years,2019,41-50,female,master's degree,average,31-50%,30,below normal,0.62943166,0
2906,more than 10 years,2019,41-50,female,master's degree,average,31-50%,30,normal,0.5417212,0
2907,more than 10 years,2019,41-50,female,master's degree,average,31-50%,30,above normal,0.05335728,0
2908,more than 10 years,2019,41-50,female,master's degree,average,51-70%,0,below normal,0.9126078,1
2909,more than 10 years,2019,41-50,female,master's degree,average,51-70%,0,normal,0.68132377,0
2910,more than 10 years,2019,41-50,female,master's degree,average,51-70%,0,above normal,0.047450304,0
2911,more than 10 years,2019,41-50,female,master's degree,average,51-70%,15,below normal,0.5788714,0
2912,more than 10 years,2019,41-50,female,master's degree,average,51-70%,15,normal,0.41696396,0
2913,more than 10 years,2019,41-50,female,master's degree,average,51-70%,15,above normal,0.017472355,0
2914,more than 10 years,2019,41-50,female,master's degree,average,51-70%,30,below normal,0.2082531,0
2915,more than 10 years,2019,41-50,female,master's degree,average,51-70%,30,normal,0.15472765,0
2916,more than 10 years,2019,41-50,female,master's degree,average,51-70%,30,above normal,0.00797277,0
2917,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,0,below normal,0.9973705,1
2918,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,0,normal,0.9353669,1
2919,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,0,above normal,0.18538006,0
2920,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,15,below normal,0.99111474,1
2921,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,15,normal,0.87466276,1
2922,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,15,above normal,0.09987449,0
2923,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,30,below normal,0.95711166,1
2924,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,30,normal,0.7702258,1
2925,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,30,above normal,0.060351267,0
2926,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,0,below normal,0.9708147,1
2927,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,0,normal,0.5191529,0
2928,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,0,above normal,0.022330984,0
2929,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,15,below normal,0.90157187,1
2930,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,15,normal,0.38460362,0
2931,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,15,above normal,0.013049125,0
2932,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,30,below normal,0.7160909,1
2933,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,30,normal,0.26565957,0
2934,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,30,above normal,0.007595292,0
2935,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,0,below normal,0.8114924,1
2936,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,0,normal,0.11398886,0
2937,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,0,above normal,0.002714381,0
2938,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,15,below normal,0.54241705,0
2939,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,15,normal,0.06931033,0
2940,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,15,above normal,0.001773818,0
2941,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,30,below normal,0.24608856,0
2942,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,30,normal,0.041326966,0
2943,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,30,above normal,0.001164205,0
2944,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,0,below normal,0.9986356,1
