number,driving exp,since,age,gender,education,income,SoC,distance,charging fee,charge
2896,more than 10 years,2019,41-50,female,master's degree,average,10-30%,long,below normal,0
2897,more than 10 years,2019,41-50,female,master's degree,average,10-30%,long,normal,1
2898,more than 10 years,2019,41-50,female,master's degree,average,10-30%,long,above normal,0
2899,more than 10 years,2019,41-50,female,master's degree,average,31-50%,short,below normal,1
2900,more than 10 years,2019,41-50,female,master's degree,average,31-50%,short,normal,1
2901,more than 10 years,2019,41-50,female,master's degree,average,31-50%,short,above normal,0
2902,more than 10 years,2019,41-50,female,master's degree,average,31-50%,medium,below normal,1
2903,more than 10 years,2019,41-50,female,master's degree,average,31-50%,medium,normal,1
2904,more than 10 years,2019,41-50,female,master's degree,average,31-50%,medium,above normal,0
2905,more than 10 years,2019,41-50,female,master's degree,average,31-50%,long,below normal,0
2906,more than 10 years,2019,41-50,female,master's degree,average,31-50%,long,normal,0
2907,more than 10 years,2019,41-50,female,master's degree,average,31-50%,long,above normal,0
2908,more than 10 years,2019,41-50,female,master's degree,average,51-70%,short,below normal,1
2909,more than 10 years,2019,41-50,female,master's degree,average,51-70%,short,normal,0
2910,more than 10 years,2019,41-50,female,master's degree,average,51-70%,short,above normal,0
2911,more than 10 years,2019,41-50,female,master's degree,average,51-70%,medium,below normal,0
2912,more than 10 years,2019,41-50,female,master's degree,average,51-70%,medium,normal,0
2913,more than 10 years,2019,41-50,female,master's degree,average,51-70%,medium,above normal,0
2914,more than 10 years,2019,41-50,female,master's degree,average,51-70%,long,below normal,0
2915,more than 10 years,2019,41-50,female,master's degree,average,51-70%,long,normal,0
2916,more than 10 years,2019,41-50,female,master's degree,average,51-70%,long,above normal,0
2917,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,short,below normal,1
2918,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,short,normal,1
2919,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,short,above normal,0
2920,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,medium,below normal,1
2921,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,medium,normal,1
2922,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,medium,above normal,0
2923,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,long,below normal,0
2924,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,long,normal,1
2925,5-10 years,2019,50-60,male,bachelor's degree,below average,10-30%,long,above normal,0
2926,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,short,below normal,1
2927,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,short,normal,0
2928,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,short,above normal,0
2929,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,medium,below normal,1
2930,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,medium,normal,0
2931,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,medium,above normal,0
2932,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,long,below normal,1
2933,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,long,normal,0
2934,5-10 years,2019,50-60,male,bachelor's degree,below average,31-50%,long,above normal,0
2935,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,short,below normal,1
2936,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,short,normal,0
2937,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,short,above normal,0
2938,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,medium,below normal,0
2939,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,medium,normal,0
2940,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,medium,above normal,0
2941,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,long,below normal,0
2942,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,long,normal,0
2943,5-10 years,2019,50-60,male,bachelor's degree,below average,51-70%,long,above normal,0
2944,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,short,below normal,1
2945,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,short,normal,1
2946,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,short,above normal,1
2947,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,medium,below normal,1
2948,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,medium,normal,1
2949,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,medium,above normal,1
2950,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,long,below normal,1
2951,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,long,normal,1
2952,more than 10 years,2017,18-30,female,doctoral degree,above average,10-30%,long,above normal,1
2953,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,short,below normal,1
2954,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,short,normal,1
2955,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,short,above normal,1
2956,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,medium,below normal,1
2957,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,medium,normal,1
2958,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,medium,above normal,1
2959,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,long,below normal,1
2960,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,long,normal,1
2961,more than 10 years,2017,18-30,female,doctoral degree,above average,31-50%,long,above normal,1
2962,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,short,below normal,1
2963,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,short,normal,1
2964,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,short,above normal,1
2965,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,medium,below normal,1
2966,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,medium,normal,0
2967,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,medium,above normal,1
2968,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,long,below normal,1
2969,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,long,normal,1
2970,more than 10 years,2017,18-30,female,doctoral degree,above average,51-70%,long,above normal,0
2971,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,short,below normal,1
2972,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,short,normal,1
2973,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,short,above normal,1
2974,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,medium,below normal,1
2975,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,medium,normal,1
2976,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,medium,above normal,1
2977,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,long,below normal,1
2978,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,long,normal,1
2979,1-3 years,2022,above 60,male,high school diploma,above average,10-30%,long,above normal,1
2980,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,short,below normal,1
2981,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,short,normal,1
2982,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,short,above normal,1
2983,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,medium,below normal,1
2984,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,medium,normal,1
2985,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,medium,above normal,1
2986,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,long,below normal,1
2987,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,long,normal,1
2988,1-3 years,2022,above 60,male,high school diploma,above average,31-50%,long,above normal,1
2989,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,short,below normal,1
2990,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,short,normal,1
2991,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,short,above normal,0
2992,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,medium,below normal,1
2993,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,medium,normal,0
2994,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,medium,above normal,0
2995,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,long,below normal,0
2996,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,long,normal,0
2997,1-3 years,2022,above 60,male,high school diploma,above average,51-70%,long,above normal,0
2998,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,short,below normal,1
2999,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,short,normal,1
3000,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,short,above normal,0
3001,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,medium,below normal,1
3002,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,medium,normal,1
3003,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,medium,above normal,0
3004,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,long,below normal,1
3005,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,long,normal,0
3006,more than 10 years,2022,31-40,female,high school diploma,average,10-30%,long,above normal,0
3007,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,short,below normal,1
3008,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,short,normal,1
3009,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,short,above normal,0
3010,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,medium,below normal,1
3011,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,medium,normal,1
3012,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,medium,above normal,0
3013,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,long,below normal,1
3014,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,long,normal,1
3015,more than 10 years,2022,31-40,female,high school diploma,average,31-50%,long,above normal,0
3016,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,short,below normal,1
3017,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,short,normal,1
3018,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,short,above normal,0
3019,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,medium,below normal,1
3020,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,medium,normal,1
3021,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,medium,above normal,0
3022,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,long,below normal,1
3023,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,long,normal,0
3024,more than 10 years,2022,31-40,female,high school diploma,average,51-70%,long,above normal,0
3025,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,short,below normal,1
3026,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,short,normal,1
3027,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,short,above normal,1
3028,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,medium,below normal,1
3029,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,medium,normal,1
3030,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,medium,above normal,0
3031,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,long,below normal,0
3032,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,long,normal,0
3033,5-10 years,2020,50-60,male,bachelor's degree,average,10-30%,long,above normal,0
3034,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,short,below normal,1
3035,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,short,normal,1
3036,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,short,above normal,0
3037,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,medium,below normal,1
3038,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,medium,normal,1
3039,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,medium,above normal,0
3040,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,long,below normal,1
3041,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,long,normal,1
3042,5-10 years,2020,50-60,male,bachelor's degree,average,31-50%,long,above normal,0
3043,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,short,below normal,1
3044,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,short,normal,1
3045,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,short,above normal,0
3046,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,medium,below normal,1
3047,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,medium,normal,0
3048,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,medium,above normal,0
3049,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,long,below normal,0
3050,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,long,normal,0
3051,5-10 years,2020,50-60,male,bachelor's degree,average,51-70%,long,above normal,0
3052,5-10 years,2016,31-40,male,master's degree,below average,10-30%,short,below normal,1
3053,5-10 years,2016,31-40,male,master's degree,below average,10-30%,short,normal,1
3054,5-10 years,2016,31-40,male,master's degree,below average,10-30%,short,above normal,0
3055,5-10 years,2016,31-40,male,master's degree,below average,10-30%,medium,below normal,0
3056,5-10 years,2016,31-40,male,master's degree,below average,10-30%,medium,normal,1
3057,5-10 years,2016,31-40,male,master's degree,below average,10-30%,medium,above normal,0
3058,5-10 years,2016,31-40,male,master's degree,below average,10-30%,long,below normal,0
3059,5-10 years,2016,31-40,male,master's degree,below average,10-30%,long,normal,0
3060,5-10 years,2016,31-40,male,master's degree,below average,10-30%,long,above normal,0
3061,5-10 years,2016,31-40,male,master's degree,below average,31-50%,short,below normal,1
3062,5-10 years,2016,31-40,male,master's degree,below average,31-50%,short,normal,1
3063,5-10 years,2016,31-40,male,master's degree,below average,31-50%,short,above normal,0
3064,5-10 years,2016,31-40,male,master's degree,below average,31-50%,medium,below normal,1
3065,5-10 years,2016,31-40,male,master's degree,below average,31-50%,medium,normal,1
3066,5-10 years,2016,31-40,male,master's degree,below average,31-50%,medium,above normal,0
3067,5-10 years,2016,31-40,male,master's degree,below average,31-50%,long,below normal,1
3068,5-10 years,2016,31-40,male,master's degree,below average,31-50%,long,normal,0
3069,5-10 years,2016,31-40,male,master's degree,below average,31-50%,long,above normal,0
3070,5-10 years,2016,31-40,male,master's degree,below average,51-70%,short,below normal,1
3071,5-10 years,2016,31-40,male,master's degree,below average,51-70%,short,normal,0
3072,5-10 years,2016,31-40,male,master's degree,below average,51-70%,short,above normal,0
3073,5-10 years,2016,31-40,male,master's degree,below average,51-70%,medium,below normal,0
3074,5-10 years,2016,31-40,male,master's degree,below average,51-70%,medium,normal,0
3075,5-10 years,2016,31-40,male,master's degree,below average,51-70%,medium,above normal,0
3076,5-10 years,2016,31-40,male,master's degree,below average,51-70%,long,below normal,0
3077,5-10 years,2016,31-40,male,master's degree,below average,51-70%,long,normal,0
3078,5-10 years,2016,31-40,male,master's degree,below average,51-70%,long,above normal,0
3079,1-3 years,2021,31-40,male,master's degree,average,10-30%,short,below normal,1
3080,1-3 years,2021,31-40,male,master's degree,average,10-30%,short,normal,1
3081,1-3 years,2021,31-40,male,master's degree,average,10-30%,short,above normal,1
3082,1-3 years,2021,31-40,male,master's degree,average,10-30%,medium,below normal,1
3083,1-3 years,2021,31-40,male,master's degree,average,10-30%,medium,normal,1
3084,1-3 years,2021,31-40,male,master's degree,average,10-30%,medium,above normal,0
3085,1-3 years,2021,31-40,male,master's degree,average,10-30%,long,below normal,1
3086,1-3 years,2021,31-40,male,master's degree,average,10-30%,long,normal,1
3087,1-3 years,2021,31-40,male,master's degree,average,10-30%,long,above normal,0
3088,1-3 years,2021,31-40,male,master's degree,average,31-50%,short,below normal,1
3089,1-3 years,2021,31-40,male,master's degree,average,31-50%,short,normal,1
3090,1-3 years,2021,31-40,male,master's degree,average,31-50%,short,above normal,0
3091,1-3 years,2021,31-40,male,master's degree,average,31-50%,medium,below normal,1
3092,1-3 years,2021,31-40,male,master's degree,average,31-50%,medium,normal,1
3093,1-3 years,2021,31-40,male,master's degree,average,31-50%,medium,above normal,0
3094,1-3 years,2021,31-40,male,master's degree,average,31-50%,long,below normal,0
3095,1-3 years,2021,31-40,male,master's degree,average,31-50%,long,normal,0
3096,1-3 years,2021,31-40,male,master's degree,average,31-50%,long,above normal,0
3097,1-3 years,2021,31-40,male,master's degree,average,51-70%,short,below normal,1
3098,1-3 years,2021,31-40,male,master's degree,average,51-70%,short,normal,0
3099,1-3 years,2021,31-40,male,master's degree,average,51-70%,short,above normal,0
3100,1-3 years,2021,31-40,male,master's degree,average,51-70%,medium,below normal,0
3101,1-3 years,2021,31-40,male,master's degree,average,51-70%,medium,normal,0
3102,1-3 years,2021,31-40,male,master's degree,average,51-70%,medium,above normal,0
3103,1-3 years,2021,31-40,male,master's degree,average,51-70%,long,below normal,0
3104,1-3 years,2021,31-40,male,master's degree,average,51-70%,long,normal,0
3105,1-3 years,2021,31-40,male,master's degree,average,51-70%,long,above normal,0
3106,1-3 years,2022,18-30,female,master's degree,above average,10-30%,short,below normal,1
3107,1-3 years,2022,18-30,female,master's degree,above average,10-30%,short,normal,1
3108,1-3 years,2022,18-30,female,master's degree,above average,10-30%,short,above normal,1
3109,1-3 years,2022,18-30,female,master's degree,above average,10-30%,medium,below normal,1
3110,1-3 years,2022,18-30,female,master's degree,above average,10-30%,medium,normal,1
3111,1-3 years,2022,18-30,female,master's degree,above average,10-30%,medium,above normal,1
3112,1-3 years,2022,18-30,female,master's degree,above average,10-30%,long,below normal,0
3113,1-3 years,2022,18-30,female,master's degree,above average,10-30%,long,normal,1
3114,1-3 years,2022,18-30,female,master's degree,above average,10-30%,long,above normal,0
3115,1-3 years,2022,18-30,female,master's degree,above average,31-50%,short,below normal,1
3116,1-3 years,2022,18-30,female,master's degree,above average,31-50%,short,normal,1
3117,1-3 years,2022,18-30,female,master's degree,above average,31-50%,short,above normal,1
3118,1-3 years,2022,18-30,female,master's degree,above average,31-50%,medium,below normal,1
3119,1-3 years,2022,18-30,female,master's degree,above average,31-50%,medium,normal,0
3120,1-3 years,2022,18-30,female,master's degree,above average,31-50%,medium,above normal,1
3121,1-3 years,2022,18-30,female,master's degree,above average,31-50%,long,below normal,0
3122,1-3 years,2022,18-30,female,master's degree,above average,31-50%,long,normal,0
3123,1-3 years,2022,18-30,female,master's degree,above average,31-50%,long,above normal,0
3124,1-3 years,2022,18-30,female,master's degree,above average,51-70%,short,below normal,0
3125,1-3 years,2022,18-30,female,master's degree,above average,51-70%,short,normal,0
3126,1-3 years,2022,18-30,female,master's degree,above average,51-70%,short,above normal,0
3127,1-3 years,2022,18-30,female,master's degree,above average,51-70%,medium,below normal,0
3128,1-3 years,2022,18-30,female,master's degree,above average,51-70%,medium,normal,0
3129,1-3 years,2022,18-30,female,master's degree,above average,51-70%,medium,above normal,0
3130,1-3 years,2022,18-30,female,master's degree,above average,51-70%,long,below normal,0
3131,1-3 years,2022,18-30,female,master's degree,above average,51-70%,long,normal,0
3132,1-3 years,2022,18-30,female,master's degree,above average,51-70%,long,above normal,0
3133,5-10 years,2016,18-30,male,master's degree,average,10-30%,short,below normal,1
3134,5-10 years,2016,18-30,male,master's degree,average,10-30%,short,normal,1
3135,5-10 years,2016,18-30,male,master's degree,average,10-30%,short,above normal,1
3136,5-10 years,2016,18-30,male,master's degree,average,10-30%,medium,below normal,1
3137,5-10 years,2016,18-30,male,master's degree,average,10-30%,medium,normal,1
3138,5-10 years,2016,18-30,male,master's degree,average,10-30%,medium,above normal,1
3139,5-10 years,2016,18-30,male,master's degree,average,10-30%,long,below normal,1
3140,5-10 years,2016,18-30,male,master's degree,average,10-30%,long,normal,1
3141,5-10 years,2016,18-30,male,master's degree,average,10-30%,long,above normal,1
3142,5-10 years,2016,18-30,male,master's degree,average,31-50%,short,below normal,0
3143,5-10 years,2016,18-30,male,master's degree,average,31-50%,short,normal,0
3144,5-10 years,2016,18-30,male,master's degree,average,31-50%,short,above normal,0
3145,5-10 years,2016,18-30,male,master's degree,average,31-50%,medium,below normal,1
3146,5-10 years,2016,18-30,male,master's degree,average,31-50%,medium,normal,1
3147,5-10 years,2016,18-30,male,master's degree,average,31-50%,medium,above normal,0
3148,5-10 years,2016,18-30,male,master's degree,average,31-50%,long,below normal,1
3149,5-10 years,2016,18-30,male,master's degree,average,31-50%,long,normal,1
3150,5-10 years,2016,18-30,male,master's degree,average,31-50%,long,above normal,0
3151,5-10 years,2016,18-30,male,master's degree,average,51-70%,short,below normal,1
3152,5-10 years,2016,18-30,male,master's degree,average,51-70%,short,normal,1
3153,5-10 years,2016,18-30,male,master's degree,average,51-70%,short,above normal,0
3154,5-10 years,2016,18-30,male,master's degree,average,51-70%,medium,below normal,1
3155,5-10 years,2016,18-30,male,master's degree,average,51-70%,medium,normal,1
3156,5-10 years,2016,18-30,male,master's degree,average,51-70%,medium,above normal,0
3157,5-10 years,2016,18-30,male,master's degree,average,51-70%,long,below normal,0
3158,5-10 years,2016,18-30,male,master's degree,average,51-70%,long,normal,0
3159,5-10 years,2016,18-30,male,master's degree,average,51-70%,long,above normal,0
3160,less than a year,2020,above 60,male,master's degree,average,10-30%,short,below normal,0
3161,less than a year,2020,above 60,male,master's degree,average,10-30%,short,normal,1
3162,less than a year,2020,above 60,male,master's degree,average,10-30%,short,above normal,1
3163,less than a year,2020,above 60,male,master's degree,average,10-30%,medium,below normal,0
3164,less than a year,2020,above 60,male,master's degree,average,10-30%,medium,normal,1
3165,less than a year,2020,above 60,male,master's degree,average,10-30%,medium,above normal,1
3166,less than a year,2020,above 60,male,master's degree,average,10-30%,long,below normal,0
3167,less than a year,2020,above 60,male,master's degree,average,10-30%,long,normal,1
3168,less than a year,2020,above 60,male,master's degree,average,10-30%,long,above normal,1
3169,less than a year,2020,above 60,male,master's degree,average,31-50%,short,below normal,1
3170,less than a year,2020,above 60,male,master's degree,average,31-50%,short,normal,1
3171,less than a year,2020,above 60,male,master's degree,average,31-50%,short,above normal,1
3172,less than a year,2020,above 60,male,master's degree,average,31-50%,medium,below normal,1
3173,less than a year,2020,above 60,male,master's degree,average,31-50%,medium,normal,1
3174,less than a year,2020,above 60,male,master's degree,average,31-50%,medium,above normal,1
3175,less than a year,2020,above 60,male,master's degree,average,31-50%,long,below normal,1
3176,less than a year,2020,above 60,male,master's degree,average,31-50%,long,normal,1
3177,less than a year,2020,above 60,male,master's degree,average,31-50%,long,above normal,1
3178,less than a year,2020,above 60,male,master's degree,average,51-70%,short,below normal,1
3179,less than a year,2020,above 60,male,master's degree,average,51-70%,short,normal,1
3180,less than a year,2020,above 60,male,master's degree,average,51-70%,short,above normal,0
3181,less than a year,2020,above 60,male,master's degree,average,51-70%,medium,below normal,1
3182,less than a year,2020,above 60,male,master's degree,average,51-70%,medium,normal,0
3183,less than a year,2020,above 60,male,master's degree,average,51-70%,medium,above normal,0
3184,less than a year,2020,above 60,male,master's degree,average,51-70%,long,below normal,1
3185,less than a year,2020,above 60,male,master's degree,average,51-70%,long,normal,1
3186,less than a year,2020,above 60,male,master's degree,average,51-70%,long,above normal,0
3187,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,short,below normal,1
3188,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,short,normal,1
3189,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,short,above normal,0
3190,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,medium,below normal,1
3191,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,medium,normal,1
3192,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,medium,above normal,0
3193,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,long,below normal,0
3194,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,long,normal,0
3195,less than a year,2022,18-30,male,bachelor's degree,below average,10-30%,long,above normal,1
3196,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,short,below normal,1
3197,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,short,normal,0
3198,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,short,above normal,0
3199,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,medium,below normal,1
3200,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,medium,normal,0
3201,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,medium,above normal,0
3202,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,long,below normal,0
3203,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,long,normal,0
3204,less than a year,2022,18-30,male,bachelor's degree,below average,31-50%,long,above normal,0
3205,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,short,below normal,1
3206,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,short,normal,0
3207,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,short,above normal,0
3208,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,medium,below normal,0
3209,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,medium,normal,0
3210,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,medium,above normal,0
3211,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,long,below normal,0
3212,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,long,normal,0
3213,less than a year,2022,18-30,male,bachelor's degree,below average,51-70%,long,above normal,0
3214,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,short,below normal,1
3215,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,short,normal,1
3216,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,short,above normal,0
3217,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,medium,below normal,1
3218,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,medium,normal,1
3219,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,medium,above normal,0
3220,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,long,below normal,1
3221,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,long,normal,1
3222,5-10 years,2022,31-40,male,doctoral degree,average,10-30%,long,above normal,0
3223,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,short,below normal,1
3224,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,short,normal,1
3225,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,short,above normal,0
3226,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,medium,below normal,1
3227,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,medium,normal,1
3228,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,medium,above normal,0
3229,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,long,below normal,0
3230,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,long,normal,0
3231,5-10 years,2022,31-40,male,doctoral degree,average,31-50%,long,above normal,0
3232,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,short,below normal,0
3233,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,short,normal,0
3234,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,short,above normal,0
3235,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,medium,below normal,0
3236,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,medium,normal,0
3237,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,medium,above normal,0
3238,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,long,below normal,0
3239,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,long,normal,0
3240,5-10 years,2022,31-40,male,doctoral degree,average,51-70%,long,above normal,0
3241,more than 10 years,2022,50-60,male,master's degree,below average,10-30%,short,below normal,1
3242,more than 10 years,2022,50-60,male,master's degree,below average,10-30%,short,normal,1
3243,more than 10 years,2022,50-60,male,master's degree,below average,10-30%,short,above normal,0
3244,more than 10 years,2022,50-60,male,master's degree,below average,10-30%,medium,below normal,1
3245,more than 10 years,2022,50-60,male,master's degree,below average,10-30%,medium,normal,1
3246,more than 10 years,2022,50-60,male,master's degree,below average,10-30%,medium,above normal,0
